# CREATED BY GENE DIAGNOSTICS TOOL on Fri Dec 11 19:26:24 2020
# diag: timetrace, run(s): 0029, time window: 0-1500(1592 steps), species: ions
# original data path: /marconi_scratch/userexternal/cmoreno0/GAM_HP_scan/LHD_s0.25_alpha-0_npol3_nz0768/
# normalization: L_ref=1.65m
#
#  t          Re[phi]     Im[phi]   
  3.9889E+02  3.4803E-02 -3.9571E-03
  3.9983E+02  3.4754E-02 -3.9624E-03
  4.0077E+02  3.4705E-02 -3.9676E-03
  4.0172E+02  3.4655E-02 -3.9728E-03
  4.0266E+02  3.4605E-02 -3.9781E-03
  4.0360E+02  3.4555E-02 -3.9833E-03
  4.0455E+02  3.4505E-02 -3.9884E-03
  4.0549E+02  3.4456E-02 -3.9936E-03
  4.0643E+02  3.4406E-02 -3.9988E-03
  4.0738E+02  3.4357E-02 -4.0039E-03
  4.0832E+02  3.4309E-02 -4.0091E-03
  4.0926E+02  3.4260E-02 -4.0142E-03
  4.1020E+02  3.4212E-02 -4.0194E-03
  4.1115E+02  3.4164E-02 -4.0245E-03
  4.1209E+02  3.4116E-02 -4.0296E-03
  4.1303E+02  3.4069E-02 -4.0347E-03
  4.1398E+02  3.4022E-02 -4.0398E-03
  4.1492E+02  3.3975E-02 -4.0449E-03
  4.1586E+02  3.3929E-02 -4.0500E-03
  4.1681E+02  3.3882E-02 -4.0551E-03
  4.1775E+02  3.3836E-02 -4.0602E-03
  4.1869E+02  3.3790E-02 -4.0653E-03
  4.1963E+02  3.3745E-02 -4.0703E-03
  4.2058E+02  3.3699E-02 -4.0754E-03
  4.2152E+02  3.3654E-02 -4.0804E-03
  4.2246E+02  3.3609E-02 -4.0855E-03
  4.2341E+02  3.3565E-02 -4.0905E-03
  4.2435E+02  3.3520E-02 -4.0955E-03
  4.2529E+02  3.3476E-02 -4.1005E-03
  4.2624E+02  3.3433E-02 -4.1055E-03
  4.2718E+02  3.3389E-02 -4.1105E-03
  4.2812E+02  3.3346E-02 -4.1155E-03
  4.2906E+02  3.3303E-02 -4.1205E-03
  4.3001E+02  3.3260E-02 -4.1255E-03
  4.3095E+02  3.3217E-02 -4.1305E-03
  4.3189E+02  3.3175E-02 -4.1355E-03
  4.3284E+02  3.3132E-02 -4.1404E-03
  4.3378E+02  3.3090E-02 -4.1454E-03
  4.3472E+02  3.3047E-02 -4.1503E-03
  4.3567E+02  3.3005E-02 -4.1553E-03
  4.3661E+02  3.2963E-02 -4.1602E-03
  4.3755E+02  3.2920E-02 -4.1651E-03
  4.3849E+02  3.2878E-02 -4.1700E-03
  4.3944E+02  3.2835E-02 -4.1749E-03
  4.4038E+02  3.2793E-02 -4.1798E-03
  4.4132E+02  3.2750E-02 -4.1847E-03
  4.4227E+02  3.2707E-02 -4.1896E-03
  4.4321E+02  3.2665E-02 -4.1944E-03
  4.4415E+02  3.2622E-02 -4.1992E-03
  4.4510E+02  3.2579E-02 -4.2041E-03
  4.4604E+02  3.2536E-02 -4.2089E-03
  4.4698E+02  3.2493E-02 -4.2137E-03
  4.4792E+02  3.2450E-02 -4.2185E-03
  4.4887E+02  3.2406E-02 -4.2232E-03
  4.4981E+02  3.2363E-02 -4.2280E-03
