# CREATED BY GENE DIAGNOSTICS TOOL on Wed Dec 16 15:38:48 2020
# diag: timetrace, run(s): 0029, time window: 0-1500(1592 steps), species: ions
# original data path: /marconi_scratch/userexternal/cmoreno0/GAM_HP_scan/surface/scanfiles0000/
# normalization: L_ref=1.65m
#
#  t          Re[phi]     Im[phi]   
  3.9134E+02  3.0593E-02 -1.0245E-02
  3.9229E+02  3.0530E-02 -1.0249E-02
  3.9323E+02  3.0466E-02 -1.0253E-02
  3.9417E+02  3.0401E-02 -1.0257E-02
  3.9512E+02  3.0335E-02 -1.0261E-02
  3.9606E+02  3.0269E-02 -1.0265E-02
  3.9700E+02  3.0202E-02 -1.0269E-02
  3.9795E+02  3.0134E-02 -1.0272E-02
  3.9889E+02  3.0067E-02 -1.0276E-02
  3.9983E+02  3.0000E-02 -1.0280E-02
  4.0077E+02  2.9933E-02 -1.0283E-02
  4.0172E+02  2.9866E-02 -1.0286E-02
  4.0266E+02  2.9800E-02 -1.0290E-02
  4.0360E+02  2.9736E-02 -1.0293E-02
  4.0455E+02  2.9672E-02 -1.0296E-02
  4.0549E+02  2.9609E-02 -1.0299E-02
  4.0643E+02  2.9546E-02 -1.0303E-02
  4.0738E+02  2.9485E-02 -1.0306E-02
  4.0832E+02  2.9424E-02 -1.0309E-02
  4.0926E+02  2.9364E-02 -1.0312E-02
  4.1020E+02  2.9305E-02 -1.0315E-02
  4.1115E+02  2.9245E-02 -1.0318E-02
  4.1209E+02  2.9186E-02 -1.0321E-02
  4.1303E+02  2.9128E-02 -1.0323E-02
  4.1398E+02  2.9069E-02 -1.0326E-02
  4.1492E+02  2.9011E-02 -1.0329E-02
  4.1586E+02  2.8953E-02 -1.0332E-02
  4.1681E+02  2.8894E-02 -1.0334E-02
  4.1775E+02  2.8836E-02 -1.0337E-02
  4.1869E+02  2.8778E-02 -1.0340E-02
  4.1963E+02  2.8721E-02 -1.0342E-02
  4.2058E+02  2.8663E-02 -1.0345E-02
  4.2152E+02  2.8606E-02 -1.0347E-02
  4.2246E+02  2.8549E-02 -1.0350E-02
  4.2341E+02  2.8492E-02 -1.0352E-02
  4.2435E+02  2.8435E-02 -1.0354E-02
  4.2529E+02  2.8379E-02 -1.0357E-02
  4.2624E+02  2.8323E-02 -1.0359E-02
  4.2718E+02  2.8267E-02 -1.0361E-02
  4.2812E+02  2.8211E-02 -1.0363E-02
  4.2906E+02  2.8156E-02 -1.0365E-02
  4.3001E+02  2.8101E-02 -1.0367E-02
  4.3095E+02  2.8045E-02 -1.0369E-02
  4.3189E+02  2.7990E-02 -1.0371E-02
  4.3284E+02  2.7934E-02 -1.0373E-02
  4.3378E+02  2.7878E-02 -1.0375E-02
  4.3472E+02  2.7822E-02 -1.0376E-02
  4.3567E+02  2.7766E-02 -1.0378E-02
  4.3661E+02  2.7709E-02 -1.0379E-02
  4.3755E+02  2.7651E-02 -1.0381E-02
  4.3849E+02  2.7594E-02 -1.0382E-02
