# CREATED BY GENE DIAGNOSTICS TOOL on Wed Dec 16 15:31:01 2020
# diag: gamdiag, run(s): 0025, time window: 0-1500(1543 steps), species: ions
# original data path: /marconi_scratch/userexternal/cmoreno0/GAM_HP_scan/surface/scanfiles0000/
# normalization: L_ref=1.65m
#
# xind= 0, x/a= 0.5, q= -2.1464562
# Fit:    0.047481956,64.666712,-6.9492445
# Analytic (Gao, Zhou/Yu): 0.078523524,0.36211323,4.1062285
#  t          Re[phi]     Im[phi]   
  3.0260E+02  3.7961E-02 -8.1415E-03
  3.0358E+02  3.7863E-02 -8.1539E-03
  3.0455E+02  3.7765E-02 -8.1661E-03
  3.0552E+02  3.7663E-02 -8.1781E-03
  3.0649E+02  3.7557E-02 -8.1900E-03
  3.0747E+02  3.7449E-02 -8.2017E-03
  3.0844E+02  3.7339E-02 -8.2131E-03
  3.0941E+02  3.7228E-02 -8.2243E-03
  3.1039E+02  3.7114E-02 -8.2353E-03
  3.1136E+02  3.6996E-02 -8.2460E-03
  3.1233E+02  3.6873E-02 -8.2564E-03
  3.1331E+02  3.6744E-02 -8.2667E-03
  3.1428E+02  3.6614E-02 -8.2767E-03
  3.1525E+02  3.6487E-02 -8.2866E-03
  3.1623E+02  3.6365E-02 -8.2964E-03
  3.1720E+02  3.6247E-02 -8.3062E-03
  3.1817E+02  3.6132E-02 -8.3160E-03
  3.1914E+02  3.6018E-02 -8.3259E-03
  3.2012E+02  3.5911E-02 -8.3359E-03
  3.2109E+02  3.5815E-02 -8.3461E-03
  3.2206E+02  3.5729E-02 -8.3565E-03
  3.2304E+02  3.5653E-02 -8.3673E-03
  3.2401E+02  3.5583E-02 -8.3783E-03
  3.2498E+02  3.5521E-02 -8.3896E-03
  3.2596E+02  3.5468E-02 -8.4011E-03
  3.2693E+02  3.5424E-02 -8.4129E-03
  3.2790E+02  3.5385E-02 -8.4250E-03
  3.2887E+02  3.5351E-02 -8.4372E-03
  3.2985E+02  3.5326E-02 -8.4496E-03
  3.3082E+02  3.5309E-02 -8.4622E-03
  3.3179E+02  3.5299E-02 -8.4748E-03
  3.3277E+02  3.5290E-02 -8.4875E-03
  3.3374E+02  3.5281E-02 -8.5002E-03
  3.3471E+02  3.5271E-02 -8.5130E-03
  3.3569E+02  3.5264E-02 -8.5257E-03
  3.3666E+02  3.5258E-02 -8.5383E-03
  3.3763E+02  3.5252E-02 -8.5509E-03
  3.3860E+02  3.5241E-02 -8.5634E-03
  3.3958E+02  3.5223E-02 -8.5758E-03
  3.4055E+02  3.5198E-02 -8.5880E-03
  3.4152E+02  3.5169E-02 -8.6000E-03
  3.4250E+02  3.5137E-02 -8.6118E-03
  3.4347E+02  3.5101E-02 -8.6233E-03
  3.4444E+02  3.5060E-02 -8.6346E-03
  3.4542E+02  3.5014E-02 -8.6456E-03
  3.4639E+02  3.4963E-02 -8.6563E-03
  3.4736E+02  3.4911E-02 -8.6668E-03
  3.4833E+02  3.4859E-02 -8.6769E-03
  3.4931E+02  3.4809E-02 -8.6867E-03
  3.5028E+02  3.4759E-02 -8.6963E-03
  3.5125E+02  3.4706E-02 -8.7056E-03
  3.5223E+02  3.4655E-02 -8.7147E-03
  3.5320E+02  3.4608E-02 -8.7235E-03
  3.5417E+02  3.4569E-02 -8.7321E-03
  3.5515E+02  3.4535E-02 -8.7406E-03
  3.5612E+02  3.4502E-02 -8.7489E-03
  3.5709E+02  3.4466E-02 -8.7571E-03
  3.5806E+02  3.4433E-02 -8.7652E-03
  3.5904E+02  3.4407E-02 -8.7732E-03
  3.6001E+02  3.4386E-02 -8.7811E-03
  3.6098E+02  3.4365E-02 -8.7890E-03
  3.6196E+02  3.4342E-02 -8.7969E-03
  3.6293E+02  3.4315E-02 -8.8048E-03
  3.6390E+02  3.4288E-02 -8.8127E-03
  3.6488E+02  3.4262E-02 -8.8207E-03
  3.6585E+02  3.4237E-02 -8.8288E-03
  3.6682E+02  3.4209E-02 -8.8370E-03
  3.6779E+02  3.4177E-02 -8.8453E-03
